assigned gene	MIPS Description	p-value	p-value	p-value
		ACE2	SWI4	SWI5
YAL001C	"TFIIIC (transcription initiation factor) subunit, 138 kD"	7.30E-01	5.00E-01	5.60E-01
YAL002W	"vacuolar sorting protein, 134 kD"	7.60E-01	5.50E-01	8.10E-01
YAL003W	translation elongation factor eEF1beta	4.80E-01	1.20E-01	7.80E-01
YAL004W	strong similarity to A.klebsiana glutamate dehydrogenase	7.00E-01	5.00E-01	1.00E+00
YAL005C	"heat shock protein of HSP70 family, cytosolic"	4.80E-01	1.20E-01	7.80E-01
YAL007C	p24 protein involved in membrane trafficking	7.50E-01	2.90E-01	5.00E-01
YAL008W	hypothetical protein	3.70E-01	8.50E-01	1.00E+00
YAL009W	meiotic protein	5.10E-01	8.80E-01	1.00E+00
YAL010C	involved in mitochondrial morphology and inheritance	5.10E-01	8.80E-01	1.00E+00
YAL011W	weak similarity to Mus musculus p53-associated cellular protein	1.00E+00	1.00E+00	1.00E+00
YAL012W	cystathionine gamma-lyase	6.90E-01	4.30E-01	8.00E-01
YAL013W	regulator of phospholipid metabolism	5.20E-01	1.00E+00	2.30E-01
YAL014C	hypothetical protein	5.20E-01	1.00E+00	2.30E-01
YAL015C	DNA repair protein	2.10E-01	5.40E-01	5.10E-01
YAL016W	"ser/thr protein phosphatase 2A, regulatory chain A"	9.20E-01	9.80E-01	1.00E+00
YAL017W	similarity to ser/thr protein kinases	4.80E-02	4.70E-01	2.80E-05
YAL018C	weak similarity to hypothetical proteins YOL047c and YOL048c	4.80E-02	4.70E-01	2.80E-05
YAL019W	similarity to helicases of the SNF2/RAD54 family	3.60E-01	5.70E-01	2.10E-02
YAL020C	alpha-tubulin suppressor	3.60E-01	5.70E-01	2.10E-02
YAL021C	transcriptional regulator	3.40E-01	4.90E-01	3.70E-01
YAL022C	intracellular membrane protein involved in nucleoside transport	1.90E-01	5.40E-02	3.00E-03
YAL023C	mannosyltransferase	9.30E-01	5.60E-01	5.70E-01
YAL024C	GDP/GTP exchange factor	5.60E-01	1.60E-02	4.30E-01
YAL025C	nuclear viral propagation protein	7.30E-01	7.70E-01	6.00E-01
YAL026C	P-type amino-phospholipids-ATPase	7.30E-01	8.80E-01	7.90E-01
YAL027W	hypothetical protein	9.20E-01	6.10E-01	4.10E-01
YAL028W	similarity to hypothetical protein YOR324c	9.10E-01	8.60E-01	6.90E-01
YAL029C	"myosin heavy chain, unconventional (class V) isoform"	9.10E-01	8.60E-01	6.90E-01
YAL030W	synaptic vesicle-associated membrane protein	5.80E-01	1.00E+00	1.00E+00
YAL031C	hypothetical protein	5.80E-01	1.00E+00	1.00E+00
YAL032C	pre-mRNA splicing factor	2.10E-01	2.10E-01	3.40E-01
YAL033W	required for processing of tRNAs and rRNAs	3.00E-01	6.70E-01	5.00E-01
YAL034C	similarity to hypothetical protein YOR338w	3.00E-01	6.70E-01	5.00E-01
YAL034W-A	determining metaphase spindle length	2.00E-01	6.70E-01	4.20E-01
YAL035C-A		6.70E-01	1.00E+00	1.00E+00
YAL035W	general translation factor eIF2 homolog	2.00E-01	6.70E-01	4.20E-01
YAL036C	strong similarity to GTP-binding proteins	2.00E-01	6.70E-01	4.20E-01
YAL037W	strong similarity to GTP-binding proteins	6.90E-01	3.20E-01	7.70E-01
