Cycle : 1 	Error=  92236.6 	Scale=  1 
Cycle : 2 	Error=  92236.6 	Scale=  19538.91 
Cycle : 3 	Error=  92236.6 	Scale=  78155.62 
Cycle : 4 	Error=  18819.88 	Scale=  312622.5 
Cycle : 5 	Error=  18819.88 	Scale=  720601.8 
Cycle : 6 	Error=  -6751.056 	Scale=  2882407 
Cycle : 7 	Error=  -7459.064 	Scale=  1441204 
Cycle : 8 	Error=  -7507.677 	Scale=  720601.8 
Cycle : 9 	Error=  -7514.953 	Scale=  360300.9 
Cycle : 10 	Error=  -7532.792 	Scale=  180150.4 
Cycle : 11 	Error=  -7562.234 	Scale=  90075.22 
Cycle : 12 	Error=  -7617.246 	Scale=  45037.61 
Cycle : 13 	Error=  -7722.575 	Scale=  22518.81 
Cycle : 14 	Error=  -7825.838 	Scale=  11259.40 
Cycle : 15 	Error=  -8001.506 	Scale=  5629.701 
Cycle : 16 	Error=  -8038.577 	Scale=  2814.851 
Cycle : 17 	Error=  -8071.655 	Scale=  1407.425 
Cycle : 18 	Error=  -8072.173 	Scale=  703.7127 
Cycle : 19 	Error=  -8072.532 	Scale=  351.8563 
Cycle : 20 	Error=  -8072.54 	Scale=  175.9282 
Cycle : 21 	Error=  -8072.556 	Scale=  87.96408 
Cycle : 22 	Error=  -8072.562 	Scale=  43.98204 
Cycle : 23 	Error=  -8072.578 	Scale=  21.99102 
Cycle : 24 	Error=  -8072.584 	Scale=  10.99551 
Cycle : 25 	Error=  -8072.6 	Scale=  5.497755 
Cycle : 26 	Error=  -8072.608 	Scale=  2.748878 
Cycle : 27 	Error=  -8072.626 	Scale=  1.374439 
Cycle : 28 	Error=  -8072.634 	Scale=  0.6872194 
Cycle : 29 	Error=  -8072.653 	Scale=  0.3436097 
Cycle : 30 	Error=  -8072.662 	Scale=  0.1718048 
Cycle : 31 	Error=  -8072.684 	Scale=  0.08590242 
Cycle : 32 	Error=  -8072.694 	Scale=  0.04295121 
Cycle : 33 	Error=  -8072.719 	Scale=  0.02147561 
Cycle : 34 	Error=  -8072.73 	Scale=  0.01073780 
Cycle : 35 	Error=  -8072.76 	Scale=  0.005368902 
Cycle : 36 	Error=  -8072.773 	Scale=  0.002684451 
Cycle : 37 	Error=  -8072.807 	Scale=  0.001342225 
Cycle : 38 	Error=  -8072.824 	Scale=  0.0006711127 
Cycle : 39 	Error=  -8072.864 	Scale=  0.0003355563 
Cycle : 40 	Error=  -8072.884 	Scale=  0.0001677782 
Cycle : 41 	Error=  -8072.932 	Scale=  8.388909e-05 
Cycle : 42 	Error=  -8072.956 	Scale=  4.194454e-05 
Cycle : 43 	Error=  -8073.016 	Scale=  2.097227e-05 
Cycle : 44 	Error=  -8073.045 	Scale=  1.048614e-05 
Cycle : 45 	Error=  -8073.118 	Scale=  5.243068e-06 
Cycle : 46 	Error=  -8073.154 	Scale=  2.621534e-06 
Cycle : 47 	Error=  -8073.246 	Scale=  1.310767e-06 
Cycle : 48 	Error=  -8073.291 	Scale=  6.553835e-07 
Cycle : 49 	Error=  -8073.406 	Scale=  3.276917e-07 
Cycle : 50 	Error=  -8073.464 	Scale=  1.638459e-07 
Cycle : 51 	Error=  -8073.611 	Scale=  8.192294e-08 
Cycle : 52 	Error=  -8073.686 	Scale=  4.096147e-08 
Cycle : 53 	Error=  -8073.875 	Scale=  2.048073e-08 
Cycle : 54 	Error=  -8073.973 	Scale=  1.024037e-08 
Cycle : 55 	Error=  -8074.222 	Scale=  5.120183e-09 
Cycle : 56 	Error=  -8074.353 	Scale=  2.560092e-09 
Cycle : 57 	Error=  -8074.688 	Scale=  1.280046e-09 
Cycle : 58 	Error=  -8074.867 	Scale=  6.400229e-10 
Cycle : 59 	Error=  -8075.327 	Scale=  3.200115e-10 
Cycle : 60 	Error=  -8075.582 	Scale=  1.600057e-10 
Cycle : 61 	Error=  -8076.238 	Scale=  8.000287e-11 
Cycle : 62 	Error=  -8076.62 	Scale=  4.000143e-11 
Cycle : 63 	Error=  -8077.606 	Scale=  2.000072e-11 
Cycle : 64 	Error=  -8078.23 	Scale=  1.000036e-11 
Cycle : 65 	Error=  -8079.845 	Scale=  5.000179e-12 
Cycle : 66 	Error=  -8081.05 	Scale=  2.500090e-12 
Cycle : 67 	Error=  -8084.171 	Scale=  1.250045e-12 
Cycle : 68 	Error=  -8087.726 	Scale=  6.250224e-13 
Cycle : 69 	Error=  -8096.979 	Scale=  3.125112e-13 
Cycle : 70 	Error=  -8855.733 	Scale=  1.562556e-13 
Cycle : 71 	Error=  -8859.257 	Scale=  7.81278e-14 
Cycle : 72 	Error=  -9035.46 	Scale=  3.90639e-14 
Cycle : 73 	Error=  -9050.067 	Scale=  1.953195e-14 
Cycle : 74 	Error=  -9074.949 	Scale=  9.765975e-15 
Cycle : 75 	Error=  -9080.094 	Scale=  4.882987e-15 
Cycle : 76 	Error=  -9113.992 	Scale=  2.441494e-15 
Cycle : 77 	Error=  -9125.781 	Scale=  1.220747e-15 
Cycle : 78 	Error=  -9125.781 	Scale=  1e-15 
Cycle : 79 	Error=  -9125.781 	Scale=  4e-15 
Cycle : 80 	Error=  -9125.781 	Scale=  1.6e-14 
Cycle : 81 	Error=  -9125.781 	Scale=  6.4e-14 
Cycle : 82 	Error=  -9125.781 	Scale=  2.56e-13 
Cycle : 83 	Error=  -9125.781 	Scale=  1.024e-12 
Cycle : 84 	Error=  -9125.781 	Scale=  4.096e-12 
Cycle : 85 	Error=  -9125.781 	Scale=  1.6384e-11 
Cycle : 86 	Error=  -9125.781 	Scale=  6.5536e-11 
Cycle : 87 	Error=  -9125.781 	Scale=  2.62144e-10 
Cycle : 88 	Error=  -9125.781 	Scale=  1.048576e-09 
Cycle : 89 	Error=  -9125.781 	Scale=  4.194304e-09 
Cycle : 90 	Error=  -9125.781 	Scale=  1.677722e-08 
Cycle : 91 	Error=  -9125.781 	Scale=  6.710886e-08 
Cycle : 92 	Error=  -9125.781 	Scale=  2.684355e-07 
Cycle : 93 	Error=  -9125.781 	Scale=  1.073742e-06 
Cycle : 94 	Error=  -9125.781 	Scale=  4.294967e-06 
Cycle : 95 	Error=  -9125.781 	Scale=  1.717987e-05 
Cycle : 96 	Error=  -9125.781 	Scale=  6.871948e-05 
Cycle : 97 	Error=  -9125.781 	Scale=  0.0002748779 
Cycle : 98 	Error=  -9125.781 	Scale=  0.001099512 
Cycle : 99 	Error=  -9125.781 	Scale=  0.004398047 
Cycle : 100 	Error=  -9125.781 	Scale=  0.01759219 
Cycle : 101 	Error=  -9125.781 	Scale=  0.07036874 
Cycle : 102 	Error=  -9125.781 	Scale=  0.281475 
Cycle : 103 	Error=  -9125.781 	Scale=  1.1259 
Cycle : 104 	Error=  -9125.781 	Scale=  4.5036 
Cycle : 105 	Error=  -9125.781 	Scale=  18.0144 
Cycle : 106 	Error=  -9125.781 	Scale=  72.0576 
Cycle : 107 	Error=  -9333.305 	Scale=  288.2304 
Cycle : 108 	Error=  -9338.226 	Scale=  144.1152 
Cycle : 109 	Error=  -9341.018 	Scale=  72.0576 
Cycle : 110 	Error=  -9341.165 	Scale=  36.0288 
Cycle : 111 	Error=  -9341.247 	Scale=  18.0144 
Cycle : 112 	Error=  -9341.257 	Scale=  9.0072 
Cycle : 113 	Error=  -9341.299 	Scale=  4.5036 
Cycle : 114 	Error=  -9341.308 	Scale=  2.2518 
