RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          147     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.683D+01  3.715D+02
    1    2     1     0  ---    0  2.2D-02  1.0D+00  7.786D+00  3.386D+02
    2    3     0     0  con    0  1.0D+00  1.6D+00  1.489D+01  3.113D+02
    3    4     0     0  con    0  1.0D+00  1.8D+00  1.221D+01  2.888D+02
    4    5     0     0  con    0  1.0D+00  4.3D+00  4.297D+00  2.557D+02
    5    6     0     0  con    0  1.0D+00  4.1D+00  1.482D+01  2.471D+02
    6    7     0     0  con    0  1.0D+00  2.1D+00  7.309D+00  2.394D+02
    7    8     0     0  con    0  1.0D+00  4.8D-01  2.475D+00  2.372D+02
    8    9     0     0  con    0  1.0D+00  2.2D+00  2.289D+00  2.337D+02
    9   10     0     0  con    0  1.0D+00  1.6D+00  8.058D-01  2.323D+02
   10   11     0     0  con    0  1.0D+00  2.2D+00  1.263D+00  2.315D+02
   11   12     0     0  con    0  1.0D+00  1.9D+00  1.006D+00  2.310D+02
   12   13     0     0  con    0  1.0D+00  3.3D+00  2.712D+00  2.305D+02
   13   14     0     0  con    0  1.0D+00  3.0D+00  3.758D-01  2.299D+02
   14   15     0     0  con    0  1.0D+00  4.2D+00  1.253D+00  2.296D+02
   15   16     0     0  con    0  1.0D+00  4.2D+00  6.625D-01  2.293D+02
   16   17     0     0  con    0  1.0D+00  4.3D+00  1.081D+00  2.291D+02
   17   18     0     0  con    0  1.0D+00  4.6D+00  8.699D-01  2.290D+02
   18   19     0     0  con    0  1.0D+00  5.6D+00  1.302D+00  2.289D+02
   19   20     0     0  con    0  1.0D+00  3.9D-01  3.315D-01  2.289D+02
   20   21     0     0  con    0  1.0D+00  1.5D+00  1.162D-01  2.289D+02
   21   22     0     0  con    0  1.0D+00  3.0D+00  1.552D-01  2.289D+02
   22   23     0     0  con    0  1.0D+00  4.6D+00  7.223D-01  2.288D+02
   23   24     0     0  con    0  1.0D+00  2.3D-01  1.294D-01  2.288D+02
