RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           63     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.730D+01  2.275D+02
    1    2     1     0  ---    0  3.0D-02  1.0D+00  5.872D+00  2.077D+02
    2    3     0     0  con    0  1.0D+00  6.1D-01  5.282D+00  2.018D+02
    3    4     0     0  con    0  1.0D+00  1.3D+00  6.754D+00  1.957D+02
    4    5     0     0  con    0  1.0D+00  7.5D-01  6.074D+00  1.909D+02
    5    6     0     0  con    0  1.0D+00  4.1D+00  6.850D+00  1.819D+02
    6    7     0     0  con    0  1.0D+00  8.2D-01  2.881D+00  1.748D+02
    7    8     0     0  con    0  1.0D+00  8.9D-01  3.475D+00  1.708D+02
    8    9     0     0  con    0  1.0D+00  2.1D+00  1.760D+00  1.667D+02
    9   10     0     0  con    0  1.0D+00  1.3D+00  2.536D+00  1.667D+02
   10   11     0     0  con    0  1.0D+00  5.7D-01  7.472D-01  1.656D+02
   11   12     0     0  con    0  1.0D+00  2.8D-01  6.283D-01  1.654D+02
   12   13     0     0  con    0  1.0D+00  8.6D-01  3.617D-01  1.651D+02
   13   14     0     0  con    0  1.0D+00  9.7D-01  6.389D-01  1.649D+02
   14   15     0     0  con    0  1.0D+00  1.2D+00  5.781D-01  1.648D+02
   15   16     0     0  con    0  1.0D+00  8.8D-02  1.768D-01  1.647D+02
   16   17     0     0  con    0  1.0D+00  1.5D-01  1.528D-01  1.647D+02
   17   18     0     0  con    0  1.0D+00  4.6D-01  3.809D-01  1.647D+02
   18   19     0     0  con    0  1.0D+00  1.9D+00  6.946D-01  1.645D+02
   19   20     0     0  con    0  1.0D+00  1.2D+00  5.444D-01  1.644D+02
   20   21     0     0  con    0  1.0D+00  2.1D+00  8.870D-01  1.643D+02
   21   22     0     0  con    0  1.0D+00  3.1D-01  7.400D-01  1.643D+02
   22   23     0     0  con    0  1.0D+00  6.7D-01  7.827D-02  1.643D+02
   23   24     0     0  con    0  1.0D+00  3.8D-01  6.579D-02  1.643D+02
   24   25     0     0  con    0  1.0D+00  7.8D-01  1.529D-01  1.643D+02
   25   26     0     0  con    0  1.0D+00  7.0D-01  2.055D-01  1.643D+02
   26   27     0     0  con    0  1.0D+00  1.3D+00  1.883D-01  1.643D+02
   27   28     0     0  con    0  1.0D+00  2.1D+00  4.789D-01  1.643D+02
   28   29     0     0  con    0  1.0D+00  1.8D-01  4.270D-02  1.642D+02
   29   30     0     0  con    0  1.0D+00  6.3D-01  2.527D-02  1.642D+02
   30   31     0     0  con    0  1.0D+00  1.2D+00  4.170D-02  1.642D+02
   31   32     0     0  con    0  1.0D+00  2.4D+00  2.383D-01  1.642D+02
   32   33     0     0  con    0  1.0D+00  1.1D-01  5.871D-02  1.642D+02
   33   34     0     0  con    0  1.0D+00  1.2D+00  3.919D-02  1.642D+02
   34   35     0     0  con    0  1.0D+00  1.7D+00  7.838D-02  1.642D+02
   35   36     0     0  con    0  1.0D+00  2.9D+00  2.049D-01  1.642D+02
   36   39     0     0  con    2  1.6D+00  6.5D+00  6.796D-01  1.642D+02
   37   41     0     0  con    1  1.1D-01  4.5D+00  1.360D+00  1.642D+02
   38   43     0     0  con    1  2.7D-01  5.2D+00  2.243D+00  1.642D+02
   39   45     0     0  con    1  1.5D-01  5.2D+00  3.304D+00  1.641D+02
   40   47     0     0  con    1  3.7D-01  7.3D+00  4.935D+00  1.641D+02
   41   48     0     0  con    0  1.0D+00  1.4D+01  8.054D+00  1.639D+02
   42   49     0     0  con    0  1.0D+00  6.3D+00  6.675D+00  1.631D+02
   43   50     0     0  con    0  1.0D+00  2.3D+01  3.684D+00  1.613D+02
   44   51     0     0  con    0  1.0D+00  1.3D+01  5.930D-01  1.604D+02
   45   53     0     0  con    1  2.7D-01  2.1D+01  3.482D+00  1.599D+02
   46   54     0     0  con    0  1.0D+00  2.3D+01  2.447D+00  1.590D+02
   47   55     0     0  con    0  1.0D+00  2.5D+01  9.068D-01  1.578D+02
   48   56     0     0  con    0  1.0D+00  4.2D+01  3.048D+00  1.567D+02
   49   57     0     0  con    0  1.0D+00  3.6D+01  9.012D-01  1.555D+02
   50   58     0     0  con    0  1.0D+00  6.6D+01  4.586D+00  1.550D+02
   51   59     0     0  con    0  1.0D+00  3.3D+00  1.451D+00  1.546D+02
   52   60     0     0  con    0  1.0D+00  4.0D+01  6.218D-01  1.542D+02
   53   61     0     0  con    0  1.0D+00  6.1D+01  1.952D+00  1.539D+02
   54   62     0     0  con    0  1.0D+00  4.2D+01  1.546D+00  1.537D+02
   55   63     0     0  con    0  1.0D+00  5.0D+01  8.883D-01  1.535D+02
   56   64     0     0  con    0  1.0D+00  8.2D+01  1.545D+00  1.534D+02
   57   65     0     0  con    0  1.0D+00  8.2D+01  4.812D-02  1.532D+02
   58   67     0     0  con    1  5.2D-01  6.2D+01  8.151D-01  1.532D+02
   59   68     0     0  con    0  1.0D+00  6.6D+01  7.821D-01  1.531D+02
   60   69     0     0  con    0  1.0D+00  1.7D+01  4.612D-01  1.530D+02
   61   70     0     0  con    0  1.0D+00  5.0D+01  5.196D-01  1.530D+02
